Unnamed: 0,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
261,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,7,0,0,0,joao-victor,João Victor,97460,João Victor Carroll Santana,MIR,False,0,2305,3,2,,J. Victor,Zagueiro,0,0.0,Não Jogou,False
262,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,7,0,0,0,felix-torres,Félix Torres,97642,Félix Eduardo Torres Caicedo,COR,False,0,264,3,5,,F. Torres,Zagueiro,0,0.0,Não Jogou,False
263,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,0,0,0,thiago-couto,Thiago Couto,97645,Thiago Couto Wenceslau,SPT,False,0,292,1,3,,T. Couto,Goleiro,0,0.0,Não Jogou,False
264,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,0,0,0,murilo,Murilo,97653,Murilo Cerqueira Paim,PAL,False,0,275,3,10,,Murilo,Zagueiro,0,0.0,Não Jogou,False
265,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,6,0,0,0,erick,Erick,97810,Erick de Arruda Serafim,SAO,False,0,276,5,5,,Erick,Atacante,0,0.0,Não Jogou,False
266,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,7,0,0,0,leo-ortiz,Léo Ortiz,97867,Leonardo Rech Ortiz,FLA,False,0,262,3,5,,L. Ortiz,Zagueiro,0,0.0,Não Jogou,False
267,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,0,0,0,iago,Iago,97868,Iago Amaral Borduchi,BAH,False,0,265,2,5,,Iago,Lateral,0,0.0,Não Jogou,False
268,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,0,0,0,matheus-bahia,Matheus Bahia,97899,Matheus Bahia Santos,CEA,False,0,354,2,5,,M. Bahia,Lateral,0,0.0,Não Jogou,False
269,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7,0,0,0,vitao,Vitão,97900,Vitor Eduardo da Silva Matos,INT,False,0,285,3,9,,Vitão,Zagueiro,0,0.0,Não Jogou,False
270,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,6,0,0,0,erick,Erick,98022,Erick Luis Conrado de Carvalho,BAH,False,0,265,4,10,,Erick,Meia,0,0.0,Não Jogou,False
271,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,0,0,0,pedro-raul,Pedro Raul,98225,Pedro Raul Garay da Silva,CEA,False,0,354,5,7,,P. Raul,Atacante,0,0.0,Não Jogou,False
